trial,a0,a,x
1,20,28,47
2,20,43,61.7
3,20,41.4,55.4
4,20,44.8,61.2
5,20,64.3,75
6,20,8,33
7,20,43,77
8,20,52,74
9,20,39,45
10,20,56,71
1,30,42.4,51.3
2,30,84.9,97.2
3,30,37.7,80
4,30,42.1,65.4
5,30,52.1,79.1
6,30,57.9,85
7,30,12.6,44
8,30,13.3,34.4
9,30,67.5,97.5
10,30,56.3,81.3
1,40,64,91
2,40,74.8,100
3,40,90,106
4,40,91,110
5,40,36,65.4
6,40,88,102
7,40,56,90
8,40,51,79
9,40,80,100
10,40,89,99
1,50,56,85
2,50,77,95
3,50,72,100
4,50,52,80
5,50,65,91
6,50,99,120
7,50,70,110
8,50,65,108
9,50,89,130
10,50,67,99
